',VTQ281C,':',"In the last 48 hours, did you breathe fumes from diesel fuel or kerosene?",,"',","'VTQ281C':'In the last 48 hours, did you breathe fumes from diesel fuel or kerosene?',"
',VTQ281D,':',"How long ago, in hours, has it been since you breathed fumes from diesel fuel or kerosene?",,"',","'VTQ281D':'How long ago, in hours, has it been since you breathed fumes from diesel fuel or kerosene?',"
',VTQ281E,':',"In the last 48 hours, did you breathe fumes from fingernail polish?",,"',","'VTQ281E':'In the last 48 hours, did you breathe fumes from fingernail polish?',"
',VTQ281F,':',"How long ago, in hours, has it been since you breathed fumes from fingernail polish?",,"',","'VTQ281F':'How long ago, in hours, has it been since you breathed fumes from fingernail polish?',"
',WTSVOC2Y,':',VOC Subsample Weight,,"',","'WTSVOC2Y':'VOC Subsample Weight',"
',LBXVTFT,':',Blood aaa-Trifluorotoluene (ng/mL),,"',","'LBXVTFT':'Blood aaa-Trifluorotoluene (ng/mL)',"
',LBDVFTLC,':',Blood aaa-Trifluorotoluene Comment Code,,"',","'LBDVFTLC':'Blood aaa-Trifluorotoluene Comment Code',"
',ACD011A,':',What language(s) {do you/does SP} usually speak at home?,,"',","'ACD011A':'What language(s) {do you/does SP} usually speak at home?',"
',ACD040,':',"Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home? {Do you/Does he/Does she} speak only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?",,"',","'ACD040':'Now I'm going to ask you about language use. What language(s) {do you/does SP} usually speak at home? {Do you/Does he/Does she} speak only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?',"
',ACD110,':',"{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE), more (NON-ENGLISH LANGUAGE) than English, both equally, more English than (NON-ENGLISH LANGUAGE), or only English?",,"',","'ACD110':'{Do you/Does SP} speak only (NON-ENGLISH LANGUAGE), more (NON-ENGLISH LANGUAGE) than English, both equally, more English than (NON-ENGLISH LANGUAGE), or only English?',"
',ALQ101,':',"The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.",,"',","'ALQ101':'The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.In any one year, {have you/has SP} had at least 12 drinks of any type of alcoholic beverage? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and half ounces of liquor.',"
',ALQ110,':',"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?",,"',","'ALQ110':'In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?',"
',ALQ120Q,':',"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?",,"',","'ALQ120Q':'In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?',"
',ALQ120U,':',UNIT OF MEASURE.,,"',","'ALQ120U':'UNIT OF MEASURE.',"
',ALQ130,':',"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?",,"',","'ALQ130':'In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?',"
',ALQ141Q,':',"In the past 12 months, on how many days did {you/SP} have {DISPLAY NUMBER} or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have {DISPLAY NUMBER} or more drinks in a single day?",,"',","'ALQ141Q':'In the past 12 months, on how many days did {you/SP} have {DISPLAY NUMBER} or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have {DISPLAY NUMBER} or more drinks in a single day?',"
',ALQ151,':',Was there ever a time or times in {your/SP's} life when {you/he/she} drank {DISPLAY NUMBER} or more drinks of any kind of alcoholic beverage almost every day?,,"',","'ALQ151':'Was there ever a time or times in {your/SP's} life when {you/he/she} drank {DISPLAY NUMBER} or more drinks of any kind of alcoholic beverage almost every day?',"
',ALQ160,':',"During the past 30 days, how many times did {you/SP} drink {DISPLAY NUMBER} or more drinks of any kind of alcohol in about two hours?",,"',","'ALQ160':'During the past 30 days, how many times did {you/SP} drink {DISPLAY NUMBER} or more drinks of any kind of alcohol in about two hours?',"
',ALQ010,':',"English Text: The following questions ask about alcohol use. This includes beer, wine, wine coolers, and liquor such as rum, gin, vodka, or whiskey. This does not include drinking a few sips of wine for religious purposes. How old were you when you had your first drink of alcohol, other than a few sips?",,"',","'ALQ010':'English Text: The following questions ask about alcohol use. This includes beer, wine, wine coolers, and liquor such as rum, gin, vodka, or whiskey. This does not include drinking a few sips of wine for religious purposes. How old were you when you had your first drink of alcohol, other than a few sips?',"
',ALD020,':',"During your life, on how many days have you had at least one drink of alcohol?",,"',","'ALD020':'During your life, on how many days have you had at least one drink of alcohol?',"
',ALD030,':',"During the past 30 days, on how many days did you have at least one drink of alcohol?",,"',","'ALD030':'During the past 30 days, on how many days did you have at least one drink of alcohol?',"
',ALD040,':',"During the past 30 days, on how many days did you have {DISPLAY NUMBER} or more drinks of alcohol in a row, that is, within a couple of hours?",,"',","'ALD040':'During the past 30 days, on how many days did you have {DISPLAY NUMBER} or more drinks of alcohol in a row, that is, within a couple of hours?',"
',BPQ020,':',"{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension, also called high blood pressure?",,"',","'BPQ020':'{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension, also called high blood pressure?',"
',BPQ030,':',"{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension, also called high blood pressure?",,"',","'BPQ030':'{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension, also called high blood pressure?',"
',BPD035,':',How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,,"',","'BPD035':'How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?',"
',BPQ040A,':',"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to . . . take prescribed medicine?",,"',","'BPQ040A':'Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to . . . take prescribed medicine?',"
',BPQ050A,':',HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine,,"',","'BPQ050A':'HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine',"
',BPQ056,':',{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?,,"',","'BPQ056':'{Did you/Did SP} take {your/his/her} blood pressure at home during the last 12 months?',"
',BPD058,':',How often {did you check your/did SP check his/her} blood pressure at home during the last 12 months?,,"',","'BPD058':'How often {did you check your/did SP check his/her} blood pressure at home during the last 12 months?',"
',BPQ059,':',Did a doctor or other health professional tell {you/SP} to take {your/his/her} blood pressure at home?,,"',","'BPQ059':'Did a doctor or other health professional tell {you/SP} to take {your/his/her} blood pressure at home?',"
',BPQ080,':',{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood cholesterol level was high?,,"',","'BPQ080':'{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood cholesterol level was high?',"
',BPQ060,':',{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?,,"',","'BPQ060':'{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?',"
',BPQ070,':',About how long has it been since {you/SP} last had {your/his/her} blood cholesterol checked? Has it been...,,"',","'BPQ070':'About how long has it been since {you/SP} last had {your/his/her} blood cholesterol checked? Has it been...',"
',BPQ090D,':',"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other health professional]... to take prescribed medicine?",,"',","'BPQ090D':'[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other health professional]... to take prescribed medicine?',"
',BPQ100D,':',(Are you/Is SP) now following this advice to take prescribed medicine?,,"',","'BPQ100D':'(Are you/Is SP) now following this advice to take prescribed medicine?',"
',CDQ001,':',{Have you/Has SP} ever had any pain or discomfort in {your/her/his} chest?,,"',","'CDQ001':'{Have you/Has SP} ever had any pain or discomfort in {your/her/his} chest?',"
',CDQ002,':',{Do you/Does she/Does he} get it when {you/she/he} walk uphill or hurry?,,"',","'CDQ002':'{Do you/Does she/Does he} get it when {you/she/he} walk uphill or hurry?',"
',CDQ003,':',{Do you/Does she/Does he} get it when {you/she/he} walk at an ordinary pace on level ground?,,"',","'CDQ003':'{Do you/Does she/Does he} get it when {you/she/he} walk at an ordinary pace on level ground?',"
',CDQ004,':',What {do you/does she/does he} do if {you/she/he} get it while {you/she/he} are walking? {Do you/Does she/Does he} stop or slow down or continue at the same pace?,,"',","'CDQ004':'What {do you/does she/does he} do if {you/she/he} get it while {you/she/he} are walking? {Do you/Does she/Does he} stop or slow down or continue at the same pace?',"
',CDQ005,':',"If {you/she/he} stand still, what happens to it? Is the pain or discomfort relieved or not relieved?",,"',","'CDQ005':'If {you/she/he} stand still, what happens to it? Is the pain or discomfort relieved or not relieved?',"
',CDQ006,':',How soon is the pain relieved? Would you say...,,"',","'CDQ006':'How soon is the pain relieved? Would you say...',"
',CDQ009A,':',Please look at this card and show me where the pain or discomfort is located.,,"',","'CDQ009A':'Please look at this card and show me where the pain or discomfort is located.',"
',CDQ008,':',Have {you/she/he} ever had a severe pain across the front of {your/her/his} chest lasting for half an hour or more?,,"',","'CDQ008':'Have {you/she/he} ever had a severe pain across the front of {your/her/his} chest lasting for half an hour or more?',"
',CDQ010,':',{Have you/Has SP} had shortness of breath either when hurrying on the level or walking up a slight hill?,,"',","'CDQ010':'{Have you/Has SP} had shortness of breath either when hurrying on the level or walking up a slight hill?',"
',CFASTAT,':',Cognitive functioning status,,"',","'CFASTAT':'Cognitive functioning status',"
',CFALANG,':',Language - Cognitive Functioning,,"',","'CFALANG':'Language - Cognitive Functioning',"
',CFDCCS,':',CERAD: Number of recalls completed,,"',","'CFDCCS':'CERAD: Number of recalls completed',"
',CFDCRNC,':',CERAD: Reason Not Complete,,"',","'CFDCRNC':'CERAD: Reason Not Complete',"
',CFDCST1,':',CERAD: Score Trial 1 Recall,,"',","'CFDCST1':'CERAD: Score Trial 1 Recall',"
',CFDCST2,':',CERAD: Score Trial 2 Recall,,"',","'CFDCST2':'CERAD: Score Trial 2 Recall',"
',CFDCST3,':',CERAD: Score Trial 3 Recall,,"',","'CFDCST3':'CERAD: Score Trial 3 Recall',"
',CFDCSR,':',CERAD: Score Delayed Recall,,"',","'CFDCSR':'CERAD: Score Delayed Recall',"
',CFDCIT1,':',CERAD: Intrusion word count Trial 1,,"',","'CFDCIT1':'CERAD: Intrusion word count Trial 1',"
',CFDCIT2,':',CERAD: Intrusion word count Trial 2,,"',","'CFDCIT2':'CERAD: Intrusion word count Trial 2',"
',CFDCIT3,':',CERAD: Intrusion word count Trial 3,,"',","'CFDCIT3':'CERAD: Intrusion word count Trial 3',"
',CFDCIR,':',CERAD: Intrusion word count Recall,,"',","'CFDCIR':'CERAD: Intrusion word count Recall',"
',CFDAPP,':',Animal Fluency: Sample Practice Pretest,,"',","'CFDAPP':'Animal Fluency: Sample Practice Pretest',"
',CFDARNC,':',Animal Fluency: Reason Not Done,,"',","'CFDARNC':'Animal Fluency: Reason Not Done',"
',CFDAST,':',Animal Fluency: Score Total,,"',","'CFDAST':'Animal Fluency: Score Total',"
',CFDDPP,':',Digit Symbol Coding: Sample Practice Pretest,,"',","'CFDDPP':'Digit Symbol Coding: Sample Practice Pretest',"
',CFDDRNC,':',Digit Symbol Coding: Reason Not Done,,"',","'CFDDRNC':'Digit Symbol Coding: Reason Not Done',"
',CFDDS,':',Digit Symbol Coding: Score,,"',","'CFDDS':'Digit Symbol Coding: Score',"
',CBD070,':',"The next questions are about how much money {your family spends/you spend} on food. First I'll ask you about money spent at supermarkets or grocery stores. Then we will talk about money spent at other types of stores. During the past 30 days, how much money {did your family/did you} spend at supermarkets or grocery stores? Please include purchases made with food stamps.",,"',","'CBD070':'The next questions are about how much money {your family spends/you spend} on food. First I'll ask you about money spent at supermarkets or grocery stores. Then we will talk about money spent at other types of stores. During the past 30 days, how much money {did your family/did you} spend at supermarkets or grocery stores? Please include purchases made with food stamps.',"
',CBD090,':',About how much money was spent on nonfood items?,,"',","'CBD090':'About how much money was spent on nonfood items?',"
',CBD110,':',About how much money {did your family/did you} spend on food at these types of stores? (Please do not include any stores you have already told me about.),,"',","'CBD110':'About how much money {did your family/did you} spend on food at these types of stores? (Please do not include any stores you have already told me about.)',"
',CBD120,':',"During the past 30 days, how much money {did your family/did you} spend on eating out? Please include money spent in cafeterias at work or at school or on vending machines, for all family members.",,"',","'CBD120':'During the past 30 days, how much money {did your family/did you} spend on eating out? Please include money spent in cafeterias at work or at school or on vending machines, for all family members.',"
',CBD130,':',"During the past 30 days, how much money {did your family/did you} spend on food carried out or delivered? Please do not include money you have already told me about.",,"',","'CBD130':'During the past 30 days, how much money {did your family/did you} spend on food carried out or delivered? Please do not include money you have already told me about.',"
',CKQ010,':',"In the past 3 days, did {you/SP} do any strenuous exercise or heavy physical work?",,"',","'CKQ010':'In the past 3 days, did {you/SP} do any strenuous exercise or heavy physical work?',"
',CKQ020,':',Did it make {your/SP's} muscles sore or painful?,,"',","'CKQ020':'Did it make {your/SP's} muscles sore or painful?',"
',CKQ030,':',"In the past 3 days, {have you/has SP} had a muscle injury, bruise or injection? (Do not include insulin or allergy injections.)",,"',","'CKQ030':'In the past 3 days, {have you/has SP} had a muscle injury, bruise or injection? (Do not include insulin or allergy injections.)',"
',CKD060,':',"In the last 3 days, have {you/SP} had any muscle pain or soreness?",,"',","'CKD060':'In the last 3 days, have {you/SP} had any muscle pain or soreness?',"
',CKQ070Q,':',"For how many days, weeks, months or years long {have you/has SP} had this pain, aching or soreness?",,"',","'CKQ070Q':'For how many days, weeks, months or years long {have you/has SP} had this pain, aching or soreness?',"
',HSD010,':',Next I have some general questions about {your/SP's} health. Would you say {your/SP's} health in general is . . .,,"',","'HSD010':'Next I have some general questions about {your/SP's} health. Would you say {your/SP's} health in general is . . .',"
',HSQ500,':',Did {you/SP} have a head cold or chest cold that started during those 30 days?,,"',","'HSQ500':'Did {you/SP} have a head cold or chest cold that started during those 30 days?',"
',HSQ510,':',Did {you/SP} have a stomach or intestinal illness with vomiting or diarrhea that started during those 30 days?,,"',","'HSQ510':'Did {you/SP} have a stomach or intestinal illness with vomiting or diarrhea that started during those 30 days?',"
',HSQ520,':',"Did {you/SP} have flu, pneumonia, or ear infections that started during those 30 days?",,"',","'HSQ520':'Did {you/SP} have flu, pneumonia, or ear infections that started during those 30 days?',"
',HSQ571,':',"During the past 12 months, that is, since (DISPLAY CURRENT MONTH, DISPLAY LAST YEAR), (have you/has SP) donated blood?",,"',","'HSQ571':'During the past 12 months, that is, since (DISPLAY CURRENT MONTH, DISPLAY LAST YEAR), (have you/has SP) donated blood?',"
',HSQ580,':',How long ago was {your/SP's} last blood donation?,,"',","'HSQ580':'How long ago was {your/SP's} last blood donation?',"
',HSQ590,':',"Except for tests {you/SP} may have had as part of blood donations, {have you/has he/has she} ever had {your/his/her} blood tested for the AIDS virus infection?",,"',","'HSQ590':'Except for tests {you/SP} may have had as part of blood donations, {have you/has he/has she} ever had {your/his/her} blood tested for the AIDS virus infection?',"
',HSAQUEX,':',Source of Health Status Data,,"',","'HSAQUEX':'Source of Health Status Data',"
',DED031,':',"If after several months of not being in the sun, {you/SP} then went out in the sun without sunscreen or protective clothing for a half hour, which one of these would happen to {your/his/her} skin?",,"',","'DED031':'If after several months of not being in the sun, {you/SP} then went out in the sun without sunscreen or protective clothing for a half hour, which one of these would happen to {your/his/her} skin?',"
',DEQ034A,':',"When {you go/SP goes} outside on a very sunny day, for more than one hour, how often {do you/does SP} Stay in the shade?",,"',","'DEQ034A':'When {you go/SP goes} outside on a very sunny day, for more than one hour, how often {do you/does SP} Stay in the shade?',"
',DEQ034C,':',Wear a long sleeved shirt? Would you say . . .,,"',","'DEQ034C':'Wear a long sleeved shirt? Would you say . . .',"
',DEQ034D,':',Use sunscreen? Would you say . . .,,"',","'DEQ034D':'Use sunscreen? Would you say . . .',"
',DEQ038G,':',How many times in the past year {have you/has SP} had a sunburn?,,"',","'DEQ038G':'How many times in the past year {have you/has SP} had a sunburn?',"
',DED120,':',"The next questions ask about the time you spent outdoors during the past 30 days. By outdoors, I mean outside and not under any shade. How much time did you usually spend outdoors between 9 in the morning and 5 in the afternoon on the days that you worked or went to school?",,"',","'DED120':'The next questions ask about the time you spent outdoors during the past 30 days. By outdoors, I mean outside and not under any shade. How much time did you usually spend outdoors between 9 in the morning and 5 in the afternoon on the days that you worked or went to school?',"
',DED125,':',"During the past 30 days, how much time did you usually spend outdoors between 9 in the morning and 5 in the afternoon on the days when you were not working or going to school?",,"',","'DED125':'During the past 30 days, how much time did you usually spend outdoors between 9 in the morning and 5 in the afternoon on the days when you were not working or going to school?',"
',DIQ010,':',"The next questions are about specific medical conditions. {Other than during pregnancy, {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?",,"',","'DIQ010':'The next questions are about specific medical conditions. {Other than during pregnancy, {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?',"
',DID040,':',How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?,,"',","'DID040':'How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {you/he/she} had diabetes or sugar diabetes?',"
',DIQ160,':',"{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following: prediabetes, impaired fasting glucose, impaired glucose tolerance, borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?",,"',","'DIQ160':'{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following: prediabetes, impaired fasting glucose, impaired glucose tolerance, borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?',"
',DIQ170,':',{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} health conditions or a medical or family history that increases {your/his/her} risk for diabetes?,,"',","'DIQ170':'{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} health conditions or a medical or family history that increases {your/his/her} risk for diabetes?',"
',DIQ172,':',{Do you/Does SP} feel {you/he/she} could be at risk for diabetes or prediabetes?,,"',","'DIQ172':'{Do you/Does SP} feel {you/he/she} could be at risk for diabetes or prediabetes?',"
',DIQ175A,':',Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?],,"',","'DIQ175A':'Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes? [Anything else?]',"
',DIQ175V,':',Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?,,"',","'DIQ175V':'Why {Do you/Does SP} think {you are/he is/she is} at risk for diabetes or prediabetes?',"
',DIQ180,':',{Have you/Has SP} had a blood test for high blood sugar or diabetes within the past three years?,,"',","'DIQ180':'{Have you/Has SP} had a blood test for high blood sugar or diabetes within the past three years?',"
',DIQ050,':',{Is SP/Are you} now taking insulin,,"',","'DIQ050':'{Is SP/Are you} now taking insulin',"
',DID060,':',For how long {have you/has SP} been taking insulin?,,"',","'DID060':'For how long {have you/has SP} been taking insulin?',"
',DIQ060U,':',UNIT OF MEASURE,,"',","'DIQ060U':'UNIT OF MEASURE',"
',DIQ070,':',{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar? These are sometimes called oral agents or oral hypoglycemic agents.,,"',","'DIQ070':'{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar? These are sometimes called oral agents or oral hypoglycemic agents.',"
',DIQ230,':',When was the last time {you/SP} saw a diabetes nurse educator or dietitian or nutritionist for {your/his/her} diabetes? Do not include doctors or other health professionals.,,"',","'DIQ230':'When was the last time {you/SP} saw a diabetes nurse educator or dietitian or nutritionist for {your/his/her} diabetes? Do not include doctors or other health professionals.',"
',DIQ240,':',"Is there one doctor or other health professional {you usually see/SP usually sees} for {your/his/her} diabetes? Do not include specialists to whom {you have/SP has} been referred such as diabetes educators, dieticians or foot and eye doctors.",,"',","'DIQ240':'Is there one doctor or other health professional {you usually see/SP usually sees} for {your/his/her} diabetes? Do not include specialists to whom {you have/SP has} been referred such as diabetes educators, dieticians or foot and eye doctors.',"
',DID250,':',How many times {have you/has SP} seen this doctor or other health professional in the past 12 months?,,"',","'DID250':'How many times {have you/has SP} seen this doctor or other health professional in the past 12 months?',"
',DID260,':',"How often {do you check your/does SP check his/her} blood for glucose or sugar? Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",,"',","'DID260':'How often {do you check your/does SP check his/her} blood for glucose or sugar? Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.',"
',DIQ275,':',"Glycosylated (GLY-KOH-SIH-LAY-TED) hemoglobin or the ""A one C"" test measures your average level of blood sugar for the past 3 months, and usually ranges between 5.0 and 13.9. During the past 12 months, has a doctor or other health professional checked {your/SP's} glycosylated hemoglobin or ""A one C""?",,"',","'DIQ275':'Glycosylated (GLY-KOH-SIH-LAY-TED) hemoglobin or the ""A one C"" test measures your average level of blood sugar for the past 3 months, and usually ranges between 5.0 and 13.9. During the past 12 months, has a doctor or other health professional checked {your/SP's} glycosylated hemoglobin or ""A one C""?',"
',DIQ280,':',"What was {your/SP's} last ""A one C"" level?",,"',","'DIQ280':'What was {your/SP's} last ""A one C"" level?',"
',DIQ291,':',"What does {your/SP's} doctor or other health professional say {your/his/her} ""A one C"" level should be? (Pick the lowest level recommended by your health care professional.)",,"',","'DIQ291':'What does {your/SP's} doctor or other health professional say {your/his/her} ""A one C"" level should be? (Pick the lowest level recommended by your health care professional.)',"
',DIQ300S,':',Blood pressure is usually given as one number over another. What was {your/SP's} most recent blood pressure in numbers?,,"',","'DIQ300S':'Blood pressure is usually given as one number over another. What was {your/SP's} most recent blood pressure in numbers?',"
',DID310S,':',What does {your/SP's} doctor or other health professional say {your/his/her} blood pressure should be?,,"',","'DID310S':'What does {your/SP's} doctor or other health professional say {your/his/her} blood pressure should be?',"
',DID320,':',"One part of total serum cholesterol in {your/SP's} blood is a bad cholesterol, called LDL, which builds up and clogs {your/his/her} arteries. What was {your/his/her} most recent LDL cholesterol number?",,"',","'DID320':'One part of total serum cholesterol in {your/SP's} blood is a bad cholesterol, called LDL, which builds up and clogs {your/his/her} arteries. What was {your/his/her} most recent LDL cholesterol number?',"
',DID330,':',What does {your/SP's} doctor or other health professional say {your/his/her} LDL cholesterol should be?,,"',","'DID330':'What does {your/SP's} doctor or other health professional say {your/his/her} LDL cholesterol should be?',"
',DID341,':',"During the past 12 months, about how many times has a doctor or other health professional checked {your/SP's} feet for any sores or irritations?",,"',","'DID341':'During the past 12 months, about how many times has a doctor or other health professional checked {your/SP's} feet for any sores or irritations?',"
',DID350,':',"How often {do you check your feet/does SP check (his/her) feet} for sores or irritations? Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.",,"',","'DID350':'How often {do you check your feet/does SP check (his/her) feet} for sores or irritations? Include times when checked by a family member or friend, but do not include times when checked by a doctor or other health professional.',"
',DIQ360,':',When was the last time {you/SP} had an eye exam in which the pupils were dilated? This would have made {you/SP} temporarily sensitive to bright light.,,"',","'DIQ360':'When was the last time {you/SP} had an eye exam in which the pupils were dilated? This would have made {you/SP} temporarily sensitive to bright light.',"
',DIQ080,':',Has a doctor ever told {you/SP} that diabetes has affected {your/his/her} eyes or that {you/s/he} had retinopathy (ret-in-op-ath-ee)?,,"',","'DIQ080':'Has a doctor ever told {you/SP} that diabetes has affected {your/his/her} eyes or that {you/s/he} had retinopathy (ret-in-op-ath-ee)?',"
',DBQ010,':',Now I'm going to ask you some general questions about {SP's} eating habits. Was {SP} ever breastfed or fed breastmilk?,,"',","'DBQ010':'Now I'm going to ask you some general questions about {SP's} eating habits. Was {SP} ever breastfed or fed breastmilk?',"
',DBD030,':',How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?,,"',","'DBD030':'How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?',"
',DBD041,':',How old was {SP} when {he/she} was first fed formula?,,"',","'DBD041':'How old was {SP} when {he/she} was first fed formula?',"
',DBD050,':',How old was {SP} when {he/she} completely stopped drinking formula?,,"',","'DBD050':'How old was {SP} when {he/she} completely stopped drinking formula?',"
',DBD055,':',"This next question is about the first thing that {SP} was given other than breast milk or formula. Please include juice, cow's milk, sugar water, baby food, or anything else that {SP} might have been given, even water. How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days)",,"',","'DBD055':'This next question is about the first thing that {SP} was given other than breast milk or formula. Please include juice, cow's milk, sugar water, baby food, or anything else that {SP} might have been given, even water. How old was {SP} when {he/she} was first fed anything other than breast milk or formula? (Days)',"
',DBD061,':',How old was {SP} when {he/she} was first fed milk?,,"',","'DBD061':'How old was {SP} when {he/she} was first fed milk?',"
',DBQ073A,':',What type of milk was {SP} first fed? Was it . . .,,"',","'DBQ073A':'What type of milk was {SP} first fed? Was it . . .',"
',DBQ700,':',"Next I have some questions about {your/SP?s} eating habits. In general, how healthy is {your/his/her} overall diet? Would you say . . .",,"',","'DBQ700':'Next I have some questions about {your/SP?s} eating habits. In general, how healthy is {your/his/her} overall diet? Would you say . . .',"
',DBQ197,':',"Now I'm going to ask a few questions about milk products. Do not include their use in cooking. In the past 30 days, how often did {you/SP} have milk to drink or on {your/his/her} cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea. Would you say...",,"',","'DBQ197':'Now I'm going to ask a few questions about milk products. Do not include their use in cooking. In the past 30 days, how often did {you/SP} have milk to drink or on {your/his/her} cereal? Please include chocolate and other flavored milks as well as hot cocoa made with milk. Do not count small amounts of milk added to coffee or tea. Would you say...',"
',DBQ223A,':',What type of milk was it? Was it usually . . .,,"',","'DBQ223A':'What type of milk was it? Was it usually . . .',"
',DBQ229,':',"The next question is about regular milk use. A regular milk drinker is someone who uses any type of milk at least 5 times a week. Using this definition, which statement best describes {you/SP}?...",,"',","'DBQ229':'The next question is about regular milk use. A regular milk drinker is someone who uses any type of milk at least 5 times a week. Using this definition, which statement best describes {you/SP}?...',"
',DBQ235A,':',"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old? Would you say...",,"',","'DBQ235A':'Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a child between the ages of 5 and 12 years old? Would you say...',"
',DBQ235B,':',"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old? Would you say...",,"',","'DBQ235B':'Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a teenager between the ages of 13 and 17 years old? Would you say...',"
',DBQ235C,':',"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old? Would you say...",,"',","'DBQ235C':'Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life. How often did {you/SP} drink any type of milk, including milk added to cereal when {you were/s/he was} a young adult between the ages of 18 and 35 years old? Would you say...',"
